Title,Genre,Director
Armageddon,Action Thriller Science Fiction Adventure,Michael Bay
Men in Black II,Action Adventure Comedy Science Fiction,Barry Sonnenfeld
Beowulf,Adventure Action Animation,Robert Zemeckis
Kung Fu Panda 3,Action Adventure Animation Comedy Family,Jennifer Yuh Nelson
Mission: Impossible - Ghost Protocol,Action Thriller Adventure,Brad Bird
Rise of the Guardians,Fantasy Animation Family,Peter Ramsey
Fun with Dick and Jane,Comedy,Dean Parisot
The Last Samurai,Drama Action War History,Edward Zwick
Exodus: Gods and Kings,Adventure Drama Action,Ridley Scott
Star Trek,Science Fiction Action Adventure,J.J. Abrams
Spider-Man,Fantasy Action,Sam Raimi
How to Train Your Dragon 2,Fantasy Action Adventure Animation Comedy,Dean DeBlois
Gods of Egypt,Fantasy,Alex Proyas
Stealth,Action,Rob Cohen
Watchmen,Action Mystery Science Fiction,Zack Snyder
Lethal Weapon 4,Action Adventure Comedy Crime Thriller,Richard Donner
Hulk,Drama Action Science Fiction,Ang Lee
G.I. Joe: Retaliation,Adventure Action Science Fiction Thriller,Jon M. Chu
Sahara,Action Adventure Comedy Drama Mystery,Breck Eisner
Final Fantasy: The Spirits Within,Adventure Action Animation Fantasy Science Fiction,Hironobu Sakaguchi
Captain America: The First Avenger,Action Adventure Science Fiction,Joe Johnston
The World Is Not Enough,Adventure Action Thriller,Michael Apted
Master and Commander: The Far Side of the World,Adventure,Peter Weir
The Twilight Saga: Breaking Dawn - Part 2,Adventure Fantasy Drama Romance,Bill Condon
Happy Feet Two,Animation Comedy Family,George Miller
The Incredible Hulk,Science Fiction Action Adventure,Louis Leterrier
The BFG,Adventure Family Fantasy,Steven Spielberg
The Revenant,Western Drama Adventure Thriller,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
Turbo,Animation Family,David Soren
Rango,Animation Comedy Family Western Adventure,Gore Verbinski
Penguins of Madagascar,Family Animation Adventure Comedy,Eric Darnell
The Bourne Ultimatum,Action Drama Mystery Thriller,Paul Greengrass
Kung Fu Panda,Adventure Animation Family Comedy,Mark Osborne
Ant-Man,Science Fiction Action Adventure,Peyton Reed
The Hunger Games: Catching Fire,Adventure Action Science Fiction,Francis Lawrence
Home,Fantasy Comedy Animation Science Fiction Family,Tim Johnson
War of the Worlds,Adventure Thriller Science Fiction,Steven Spielberg
Bad Boys II,Adventure Action Comedy Thriller Crime,Michael Bay
Puss in Boots,Action Adventure Animation Family Fantasy,Chris Miller
Salt,Action Mystery Thriller,Phillip Noyce
Noah,Drama Adventure,Darren Aronofsky
The Adventures of Tintin,Adventure Animation Mystery,Steven Spielberg
Harry Potter and the Prisoner of Azkaban,Adventure Fantasy Family,Alfonso Cuar\u00f3n
Australia,Drama,Baz Luhrmann
After Earth,Science Fiction Action Adventure,M. Night Shyamalan
Dinosaur,Animation Family,Ralph Zondag
Night at the Museum: Secret of the Tomb,Adventure Comedy Fantasy Family,Shawn Levy
Megamind,Animation Action Comedy Family Science Fiction,Tom McGrath
Harry Potter and the Philosopher's Stone,Adventure Fantasy Family,Chris Columbus
R.I.P.D.,Fantasy Action Comedy Crime,Robert Schwentke
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure Fantasy Action,Gore Verbinski
The Hunger Games: Mockingjay - Part 1,Science Fiction Adventure Thriller,Francis Lawrence
The Da Vinci Code,Thriller Mystery,Ron Howard
Rio 2,Animation Adventure Comedy Family,Carlos Saldanha
X2,Adventure Action Science Fiction Thriller,Bryan Singer
Fast Five,Action Thriller Crime,Justin Lin
Sherlock Holmes: A Game of Shadows,Adventure Action Crime Mystery,Guy Ritchie
Clash of the Titans,Adventure Fantasy Action,Louis Leterrier
Total Recall,Action Adventure Science Fiction,Paul Verhoeven
The 13th Warrior,Adventure Fantasy Action,John McTiernan
The Bourne Legacy,Action Thriller,Tony Gilroy
Batman & Robin,Action Crime Fantasy,Joel Schumacher
How the Grinch Stole Christmas,Family Comedy Fantasy,Ron Howard
The Day After Tomorrow,Action Adventure Science Fiction Thriller,Roland Emmerich
Mission: Impossible II,Adventure Action Thriller,John Woo
The Perfect Storm,Drama,Wolfgang Petersen
4: Rise of the Silver Surfer,Adventure Fantasy Action Thriller,Tim Story
Life of Pi,Adventure Drama Action,Ang Lee
Ghost Rider,Thriller Action Fantasy Horror,Mark Steven Johnson
Jason Bourne,Action Thriller,Paul Greengrass
Charlie's Angels: Full Throttle,Action Adventure Comedy,McG
Prometheus,Science Fiction Adventure Mystery,Ridley Scott
Stuart Little 2,Family Adventure Animation Comedy,Rob Minkoff
Elysium,Science Fiction Action Drama Thriller,Neill Blomkamp
The Chronicles of Riddick,Action Science Fiction,David Twohy
RoboCop,Action Science Fiction,Jos\u00e9 Padilha
Speed Racer,Action Family Science Fiction,Lilly Wachowski
How Do You Know,Comedy Drama Romance,James L. Brooks
Knight and Day,Action Comedy,James Mangold
Oblivion,Action Science Fiction Adventure Mystery,Joseph Kosinski
Star Wars: Episode III - Revenge of the Sith,Science Fiction Adventure Action,George Lucas
Star Wars: Episode II - Attack of the Clones,Adventure Action Science Fiction,George Lucas
"Monsters, Inc.",Animation Comedy Family,Pete Docter
The Wolverine,Action Science Fiction Adventure Fantasy,James Mangold
Star Wars: Episode I - The Phantom Menace,Adventure Action Science Fiction,George Lucas
The Croods,Adventure Animation Comedy Family Fantasy,Chris Sanders
Astérix aux Jeux Olympiques,Fantasy Adventure Comedy Family,Thomas Langmann
Windtalkers,Drama Action History War,John Woo
The Huntsman: Winter's War,Action Adventure Drama,Cedric Nicolas-Troyan
Teenage Mutant Ninja Turtles,Science Fiction Action Adventure Fantasy Comedy,Jonathan Liebesman
Gravity,Science Fiction Thriller Drama,Alfonso Cuar\u00f3n
Dante's Peak,Action Adventure Thriller,Roger Donaldson
Teenage Mutant Ninja Turtles: Out of the Shadows,Fantasy Action Adventure Comedy,Dave Green
Fantastic Four,Action Adventure Science Fiction,Josh Trank
Night at the Museum,Action Adventure Comedy Family Fantasy,Shawn Levy
San Andreas,Action Drama Thriller,Brad Peyton
Tomorrow Never Dies,Adventure Action Thriller,Roger Spottiswoode
The Patriot,Drama History War Action,Roland Emmerich
Ocean's Twelve,Thriller Crime,Steven Soderbergh
Mr. & Mrs. Smith,Action Comedy Drama Thriller,Doug Liman
Insurgent,Adventure Science Fiction Thriller,Robert Schwentke
The Aviator,Drama,Martin Scorsese
Gulliver's Travels,Comedy,Rob Letterman
The Green Hornet,Action Crime Comedy,Michel Gondry
300: Rise of an Empire,Action War,Noam Murro
The Smurfs,Animation Family Adventure Comedy Fantasy,Raja Gosnell
Home on the Range,Animation Family,Will Finn
Allegiant,Adventure Science Fiction,Robert Schwentke
Real Steel,Action Science Fiction Drama,Shawn Levy
The Smurfs 2,Fantasy Family Comedy Animation,Raja Gosnell
Speed 2: Cruise Control,Action Adventure Thriller,Jan de Bont
Ender's Game,Science Fiction Action Adventure,Gavin Hood
Live Free or Die Hard,Action Thriller,Len Wiseman
The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy Action,Peter Jackson
Around the World in 80 Days,Action Adventure Comedy,Frank Coraci
Ali,Drama,Michael Mann
The Cat in the Hat,Comedy Fantasy Family,Bo Welch
"I, Robot",Action Science Fiction,Alex Proyas
Kingdom of Heaven,Drama Action Adventure History War,Ridley Scott
Stuart Little,Animation Fantasy Family Comedy,Rob Minkoff
The Princess and the Frog,Romance Family Animation Music,Ron Clements
The Martian,Drama Adventure Science Fiction,Ridley Scott
The Island,Action Thriller Science Fiction Adventure,Michael Bay
Town & Country,Comedy Romance,Peter Chelsom
Gone in Sixty Seconds,Action Crime Thriller,Dominic Sena
Gladiator,Action Drama Adventure,Ridley Scott
Minority Report,Action Thriller Science Fiction Mystery,Steven Spielberg
Harry Potter and the Chamber of Secrets,Adventure Fantasy Family,Chris Columbus
Casino Royale,Adventure Action Thriller,Martin Campbell
Planet of the Apes,Thriller Science Fiction Action Adventure,Tim Burton
Terminator 2: Judgment Day,Action Thriller Science Fiction,James Cameron
Public Enemies,History Crime Drama,Michael Mann
American Gangster,Drama Crime,Ridley Scott
True Lies,Action Thriller,James Cameron
The Taking of Pelham 1 2 3,Thriller Drama Crime,Tony Scott
Little Fockers,Comedy Romance,Paul Weitz
The Other Guys,Action Comedy Crime,Adam McKay
Eraser,Action Drama Mystery Thriller,Chuck Russell
Django Unchained,Drama Western,Quentin Tarantino
The Hunchback of Notre Dame,Drama Animation Family,Gary Trousdale
The Emperor's New Groove,Adventure Animation Comedy Family Fantasy,Mark Dindal
The Expendables 2,Action Adventure Thriller,Simon West
National Treasure,Adventure Action Thriller Mystery,Jon Turteltaub
Eragon,Fantasy Action Adventure Family,Stefen Fangmeier
Where the Wild Things Are,Family Fantasy,Spike Jonze
Epic,Animation Adventure Family Fantasy,Chris Wedge
The Tourist,Action Thriller Romance,Florian Henckel von Donnersmarck
End of Days,Action Fantasy Horror Mystery,Peter Hyams
Blood Diamond,Drama Thriller Action,Edward Zwick
The Wolf of Wall Street,Crime Drama Comedy,Martin Scorsese
Batman Forever,Action Crime Fantasy,Joel Schumacher
Starship Troopers,Adventure Action Thriller Science Fiction,Paul Verhoeven
Cloud Atlas,Drama Science Fiction,Tom Tykwer
Legend of the Guardians: The Owls of Ga'Hoole,Animation Adventure Family Fantasy,Zack Snyder
Catwoman,Action Crime,Pitof
Hercules,Action Adventure,Brett Ratner
Treasure Planet,Adventure Animation Family Fantasy Science Fiction,Ron Clements
Land of the Lost,Adventure Comedy Science Fiction,Brad Silberling
The Expendables 3,Action Adventure Thriller,Patrick Hughes
Point Break,Action Crime Thriller,Ericson Core
Son of the Mask,Fantasy Comedy Family Adventure,Lawrence Guterman
In the Heart of the Sea,Thriller Drama Adventure Action History,Ron Howard
The Adventures of Pluto Nash,Action Comedy Science Fiction,Ron Underwood
Green Zone,War Action Adventure Drama Thriller,Paul Greengrass
The Peanuts Movie,Animation,Steve Martino
The Spanish Prisoner,Crime Drama Mystery Thriller,David Mamet
The Mummy Returns,Adventure Action Fantasy,Stephen Sommers
Gangs of New York,Drama History Crime,Martin Scorsese
金陵十三釵,Drama History War,Zhang Yimou
Surf's Up,Animation Comedy Family,Ash Brannon
The Stepford Wives,Action Comedy Science Fiction,Frank Oz
Black Hawk Down,Action History War,Ridley Scott
The Campaign,Comedy,Jay Roach
The Fifth Element,Adventure Fantasy Action Thriller Science Fiction,Luc Besson
Sex and the City 2,Comedy Drama Romance,Michael Patrick King
The Road to El Dorado,Adventure Animation Comedy Family,Don Michael Paul
Ice Age: Continental Drift,Animation Comedy Adventure Family,Steve Martino
Cinderella,Romance Fantasy Family Drama,Kenneth Branagh
The Lovely Bones,Fantasy Drama,Peter Jackson
Finding Nemo,Animation Family,Andrew Stanton
The Lord of the Rings: The Return of the King,Adventure Fantasy Action,Peter Jackson
The Lord of the Rings: The Two Towers,Adventure Fantasy Action,Peter Jackson
Seventh Son,Adventure Fantasy,Sergei Bodrov
Lara Croft: Tomb Raider,Adventure Fantasy Action Thriller,Simon West
Transcendence,Thriller Science Fiction Drama Mystery,Wally Pfister
Jurassic Park III,Adventure Action Thriller Science Fiction,Joe Johnston
Rise of the Planet of the Apes,Thriller Action Drama Science Fiction,Rupert Wyatt
The Spiderwick Chronicles,Adventure Family Fantasy,Mark Waters
A Good Day to Die Hard,Action Thriller,John Moore
The Alamo,Western History War,John Lee Hancock
The Incredibles,Action Adventure Animation Family,Brad Bird
Cutthroat Island,Action Adventure,Renny Harlin
Percy Jackson & the Olympians: The Lightning Thief,Adventure Fantasy Family,Chris Columbus
Men in Black,Action Adventure Comedy Science Fiction,Barry Sonnenfeld
Toy Story 2,Animation Comedy Family,John Lasseter
Unstoppable,Action Thriller,Tony Scott
Rush Hour 2,Action Comedy Crime Thriller,Brett Ratner
What Lies Beneath,Drama Horror Mystery Thriller,Robert Zemeckis
Cloudy with a Chance of Meatballs,Animation Comedy Family,Phil Lord
Ice Age: Dawn of the Dinosaurs,Animation Comedy Family Adventure,Carlos Saldanha
The Secret Life of Walter Mitty,Adventure Comedy Drama Fantasy,Ben Stiller
Charlie's Angels,Action Adventure Comedy Crime Thriller,McG
The Departed,Drama Thriller Crime,Martin Scorsese
Mulan,Animation Family Adventure,Tony Bancroft
Tropic Thunder,Action Comedy,Ben Stiller
The Girl with the Dragon Tattoo,Thriller Crime Mystery Drama,David Fincher
Die Hard: With a Vengeance,Action Thriller,John McTiernan
Sherlock Holmes,Action Adventure Crime Mystery,Guy Ritchie
Ben-Hur,Drama,Timur Bekmambetov
Atlantis: The Lost Empire,Animation Family Adventure Science Fiction,Gary Trousdale
Alvin and the Chipmunks: The Road Chip,Adventure Animation Comedy Family,Walt Becker
Valkyrie,Drama Thriller History War,Bryan Singer
You Don't Mess with the Zohan,Comedy Action,Dennis Dugan
Pixels,Action Comedy Science Fiction,Chris Columbus
A.I. Artificial Intelligence,Drama Science Fiction Adventure,Steven Spielberg
The Haunted Mansion,Thriller Fantasy Comedy Family Mystery,Rob Minkoff
Contact,Drama Science Fiction Mystery,Robert Zemeckis
Hollow Man,Action Science Fiction Thriller,Paul Verhoeven
The Interpreter,Crime Thriller,Sydney Pollack
Percy Jackson: Sea of Monsters,Adventure Family Fantasy,Thor Freudenthal
Lara Croft Tomb Raider: The Cradle of Life,Action Adventure Fantasy Thriller,Jan de Bont
Now You See Me 2,Action Adventure Comedy Crime Mystery,Jon M. Chu
The Saint,Thriller Action Romance Science Fiction Adventure,Phillip Noyce
Spy Game,Action Crime Thriller,Tony Scott
Mission to Mars,Science Fiction,Brian De Palma
Rio,Animation Adventure Comedy Family,Carlos Saldanha
Bicentennial Man,Comedy Science Fiction,Chris Columbus
Volcano,Science Fiction Action Drama Thriller,Mick Jackson
The Devil's Own,Crime Thriller Drama,Alan J. Pakula
K-19: The Widowmaker,Drama History Thriller,Kathryn Bigelow
Conan the Barbarian,Adventure Fantasy Action,John Milius
Cinderella Man,Romance Drama History,Ron Howard
The Nutcracker: The Untold Story,Fantasy Action Family,Andrei Konchalovsky
Seabiscuit,Drama History,Gary Ross
Twister,Action Adventure Drama,Jan de Bont
Cast Away,Adventure Drama,Robert Zemeckis
Happy Feet,Animation Comedy,George Miller
The Bourne Supremacy,Action Drama Thriller,Paul Greengrass
Air Force One,Action Thriller,Wolfgang Petersen
Ocean's Eleven,Thriller Crime,Steven Soderbergh
The Three Musketeers,Adventure Action Thriller,Paul W.S. Anderson
Hotel Transylvania,Animation Comedy Family Fantasy,Genndy Tartakovsky
Enchanted,Comedy Family Fantasy Romance,Kevin Lima
Safe House,Action Thriller,Daniel Espinosa
102 Dalmatians,Comedy Family,Kevin Lima
Tower Heist,Action Comedy,Brett Ratner
The Holiday,Comedy Romance,Nancy Meyers
Enemy of the State,Action Drama Thriller,Tony Scott
It's Complicated,Comedy Romance,Nancy Meyers
Ocean's Thirteen,Crime Thriller,Steven Soderbergh
Open Season,Adventure Animation Family,Jill Culton
Divergent,Adventure Action Science Fiction,Neil Burger
Enemy at the Gates,War,Jean-Jacques Annaud
The Rundown,Adventure Action Comedy Thriller,Peter Berg
Last Action Hero,Adventure Fantasy Action Comedy Family,John McTiernan
Memoirs of a Geisha,Drama History Romance,Rob Marshall
The Fast and the Furious: Tokyo Drift,Action Crime Drama Thriller,Justin Lin
Arthur Christmas,Drama Animation Family Comedy,Barry Cook
Meet Joe Black,Fantasy Drama Mystery,Martin Brest
Collateral Damage,Action Thriller Drama,Andrew Davis
All That Jazz,Drama Music,Bob Fosse
Mirror Mirror,Adventure Fantasy Drama Comedy Science Fiction,Tarsem Singh
Scott Pilgrim vs. the World,Action Adventure Comedy,Edgar Wright
The Core,Action Thriller Adventure Science Fiction,Jon Amiel
Nutty Professor II: The Klumps,Fantasy Comedy Romance Science Fiction,Peter Segal
Scooby-Doo,Mystery Adventure Comedy,Raja Gosnell
Dredd,Action Science Fiction,Pete Travis
Click,Comedy Drama Fantasy Romance,Frank Coraci
Creepshow,Horror Comedy Fantasy,George A. Romero
Cats & Dogs 2 : The Revenge of Kitty Galore,Comedy Family,Brad Peyton
Jumper,Adventure Fantasy Science Fiction,Doug Liman
Hellboy II: The Golden Army,Adventure Fantasy Science Fiction,Guillermo del Toro
Zodiac,Crime Drama Mystery Thriller,David Fincher
The 6th Day,Science Fiction,Roger Spottiswoode
Bruce Almighty,Fantasy Comedy,Tom Shadyac
The Expendables,Thriller Adventure Action,Sylvester Stallone
Mission: Impossible,Adventure Action Thriller,Brian De Palma
The Hunger Games,Science Fiction Adventure Fantasy,Gary Ross
The Hangover Part II,Comedy,Todd Phillips
Batman Returns,Action Fantasy,Tim Burton
Over the Hedge,Comedy Animation Family,Karey Kirkpatrick
Lilo & Stitch,Animation Family,Chris Sanders
Charlotte's Web,Comedy Family Fantasy,Gary Winick
Deep Impact,Action Drama Romance,Mimi Leder
RED 2,Action Comedy Crime Thriller,Dean Parisot
The Longest Yard,Comedy Drama,Peter Segal
Alvin and the Chipmunks: Chipwrecked,Comedy Fantasy Family Music Animation,Mike Mitchell
Grown Ups 2,Comedy,Dennis Dugan
Get Smart,Action Comedy Thriller,Peter Segal
Something's Gotta Give,Drama Comedy Romance,Nancy Meyers
Shutter Island,Drama Thriller Mystery,Martin Scorsese
Four Christmases,Comedy Romance Drama,Seth Gordon
Robots,Animation Comedy Family Science Fiction,Chris Wedge
Face/Off,Action Crime Science Fiction Thriller,John Woo
Bedtime Stories,Fantasy Comedy Family Romance,Adam Shankman
Road to Perdition,Thriller Crime Drama,Sam Mendes
Just Go with It,Romance Comedy,Dennis Dugan
Con Air,Action Thriller Crime,Simon West
Eagle Eye,Mystery Thriller Action,D.J. Caruso
Cold Mountain,Drama,Anthony Minghella
The Book of Eli,Action Thriller Science Fiction,Albert Hughes
Flubber,Comedy Family Science Fiction,Les Mayfield
The Haunting,Horror Thriller Fantasy Mystery,Jan de Bont
Space Jam,Animation Comedy Drama Family Fantasy,Joe Pytka
The Pink Panther,Action Comedy Crime Mystery Family,Shawn Levy
The Day the Earth Stood Still,Drama Science Fiction Thriller,Scott Derrickson
Conspiracy Theory,Action Drama Mystery Thriller,Richard Donner
Fury,War Drama Action,David Ayer
Six Days Seven Nights,Action Adventure Comedy Romance,Ivan Reitman
Yogi Bear,Comedy Family Animation Adventure,Eric Brevig
Spirit: Stallion of the Cimarron,Western Animation Adventure Comedy Family,Kelly Asbury
Zookeeper,Comedy Romance Family,Frank Coraci
Lost in Space,Adventure Family Science Fiction,Stephen Hopkins
